ligand,sample,rep,engine,ptm,iptm
08J,0,0,esmfold2,0.9473690390586852,0.9649724960327148
08Y,0,0,esmfold2,0.950525999069214,0.9653784036636353
1RD,0,0,esmfold2,0.9389581084251404,0.9159789085388184
2QH,0,0,esmfold2,0.9365594387054444,0.8965836763381958
5AW,0,0,esmfold2,0.94482684135437,0.9304798245429992
6AW,0,0,esmfold2,0.9481597542762756,0.9477055072784424
7AW,0,0,esmfold2,0.945057213306427,0.9531320929527284
80K,0,0,esmfold2,0.9435700178146362,0.9345705509185792
8AW,0,0,esmfold2,0.9451889395713806,0.9509027004241944
A1A06,0,0,esmfold2,0.942740261554718,0.9379066228866576
A1A07,0,0,esmfold2,0.9427527785301208,0.9339229464530944
A1A08,0,0,esmfold2,0.9434143304824828,0.9461914896965028
A1A4K,0,0,esmfold2,0.9379672408103944,0.9266477823257446
A1A4S,0,0,esmfold2,0.93859601020813,0.9161206483840942
A1A4T,0,0,esmfold2,0.9378775358200072,0.9110287427902222
A1A4U,0,0,esmfold2,0.9430437088012696,0.9361708164215088
A1A4V,0,0,esmfold2,0.9246739149093628,0.8315125107765198
A1APA,0,0,esmfold2,0.9426773190498352,0.9283530712127686
A1ASO,0,0,esmfold2,0.9448025226593018,0.9397023916244508
A1ASP,0,0,esmfold2,0.9510689973831176,0.9651374220848083
A1ASQ,0,0,esmfold2,0.9495232701301576,0.9745393395423888
A1ASR,0,0,esmfold2,0.953275978565216,0.9762782454490662
A1ASS,0,0,esmfold2,0.954886555671692,0.9794845581054688
A1AST,0,0,esmfold2,0.9422329664230348,0.9169149398803712
A1ASU,0,0,esmfold2,0.9473530650138856,0.9632107019424438
A1ASV,0,0,esmfold2,0.9538971781730652,0.9760571718215942
A1BNX,0,0,esmfold2,0.9433478116989136,0.9477769136428832
A1CIW,0,0,esmfold2,0.934301257133484,0.9088948369026184
CFF,0,0,esmfold2,0.9463871717453004,0.9271010756492616
CL6,0,0,esmfold2,0.9413275718688964,0.9283230900764464
D0R,0,0,esmfold2,0.93120276927948,0.9035751223564148
D7J,0,0,esmfold2,0.9441189765930176,0.9385291934013368
D7M,0,0,esmfold2,0.9443839192390442,0.9305341243743896
D7Y,0,0,esmfold2,0.9460771679878236,0.9394949674606324
D81,0,0,esmfold2,0.941169261932373,0.9312151074409484
DEJ,0,0,esmfold2,0.9405915141105652,0.9148130416870116
DEV,0,0,esmfold2,0.943800151348114,0.9399459958076476
DJ1,0,0,esmfold2,0.9379348754882812,0.9105595946311952
ERY,0,0,esmfold2,0.9289979934692384,0.8980227112770081
FZV,0,0,esmfold2,0.942408561706543,0.9302911758422852
G0D,0,0,esmfold2,0.9419598579406738,0.9327353239059448
G0J,0,0,esmfold2,0.9402262568473816,0.9176658987998962
G0M,0,0,esmfold2,0.9419466257095336,0.9328113198280334
G0V,0,0,esmfold2,0.9428420662879944,0.932359516620636
G1J,0,0,esmfold2,0.9423186182975768,0.9256497025489808
J9K,0,0,esmfold2,0.947378396987915,0.9562949538230896
KLN,0,0,esmfold2,0.9462949633598328,0.95232093334198
MF8,0,0,esmfold2,0.9499499797821044,0.9254570603370668
MWS,0,0,esmfold2,0.946025550365448,0.9342024922370912
MWV,0,0,esmfold2,0.9427775740623474,0.9236090779304504
MWY,0,0,esmfold2,0.9401058554649352,0.9138615131378174
MYT,0,0,esmfold2,0.9462255239486694,0.94196218252182
NH0,0,0,esmfold2,0.9359893202781676,0.9098695516586304
NI6,0,0,esmfold2,0.9394593834877014,0.9215823411941528
NJ0,0,0,esmfold2,0.9394349455833436,0.9131590723991394
NJO,0,0,esmfold2,0.9381867051124572,0.9136807322502136
NXR,0,0,esmfold2,0.9405299425125122,0.9308828115463256
NYF,0,0,esmfold2,0.943213701248169,0.9408157467842102
PG0,0,0,esmfold2,0.938518226146698,0.907768726348877
PG4,0,0,esmfold2,0.9364319443702698,0.9033862948417664
PK9,0,0,esmfold2,0.9487248659133912,0.9693853259086608
PKT,0,0,esmfold2,0.9434384107589722,0.9260064959526062
QDJ,0,0,esmfold2,0.9348618388175964,0.9082797765731812
QDP,0,0,esmfold2,0.9360727667808532,0.910912036895752
QDV,0,0,esmfold2,0.9409533739089966,0.9145455360412598
QDY,0,0,esmfold2,0.9342992305755616,0.9089040160179138
QE4,0,0,esmfold2,0.9401944875717164,0.9212695360183716
QEA,0,0,esmfold2,0.940488874912262,0.9245302081108092
QEP,0,0,esmfold2,0.938208281993866,0.9165957570075988
QES,0,0,esmfold2,0.9406023621559144,0.9182845950126648
RIT,0,0,esmfold2,0.9413552284240724,0.9210314750671388
T0K,0,0,esmfold2,0.9347115755081176,0.9092917442321776
TCI,0,0,esmfold2,0.9396841526031494,0.9270896315574646
X5Y,0,0,esmfold2,0.9419173002243042,0.954342782497406
X6J,0,0,esmfold2,0.9433724284172058,0.9601159691810608
X6S,0,0,esmfold2,0.943487584590912,0.959814190864563
X6V,0,0,esmfold2,0.9408822059631348,0.9292231798171997
X71,0,0,esmfold2,0.9446950554847717,0.9586347341537476
X74,0,0,esmfold2,0.9448906779289246,0.9584579467773438
X7D,0,0,esmfold2,0.9432825446128845,0.9587892293930054
X7J,0,0,esmfold2,0.9416146278381348,0.943157970905304
X7M,0,0,esmfold2,0.9426129460334778,0.950559139251709
X7P,0,0,esmfold2,0.9433301091194153,0.9437018632888794
Y83,0,0,esmfold2,0.9375202059745789,0.9114574790000916
YNV,0,0,esmfold2,0.9164271950721741,0.884994626045227
Z8Z,0,0,esmfold2,0.9430772066116333,0.9297167062759399
Z9Z,0,0,esmfold2,0.945102334022522,0.9511400461196899
08J,0,1,esmfold2,0.9451524615287781,0.9665172696113586
08Y,0,1,esmfold2,0.9490012526512146,0.9636687636375427
1RD,0,1,esmfold2,0.9430225491523743,0.9184343218803406
2QH,0,1,esmfold2,0.9361993074417114,0.8987634181976318
5AW,0,1,esmfold2,0.945638120174408,0.9331695437431335
6AW,0,1,esmfold2,0.9474517703056335,0.9472989439964294
7AW,0,1,esmfold2,0.947137176990509,0.9605016708374023
80K,0,1,esmfold2,0.9391558766365051,0.9180387854576111
8AW,0,1,esmfold2,0.9437346458435059,0.9466833472251892
A1A06,0,1,esmfold2,0.9432251453399658,0.9541447758674622
A1A07,0,1,esmfold2,0.9427917003631592,0.9338921308517456
A1A08,0,1,esmfold2,0.9445082545280457,0.9560686349868774
A1A4K,0,1,esmfold2,0.9392551779747009,0.9261146187782288
A1A4S,0,1,esmfold2,0.9383225440979004,0.9184037446975708
A1A4T,0,1,esmfold2,0.9385391473770142,0.9111478924751282
A1A4U,0,1,esmfold2,0.9420246481895447,0.9356246590614319
A1A4V,0,1,esmfold2,0.9404477477073669,0.9337425827980042
A1APA,0,1,esmfold2,0.9418874979019165,0.921588122844696
A1ASO,0,1,esmfold2,0.9489905834197998,0.9487227201461792
A1ASP,0,1,esmfold2,0.9515530467033386,0.9640579223632812
A1ASQ,0,1,esmfold2,0.9493611454963684,0.9738711714744568
A1ASR,0,1,esmfold2,0.9521770477294922,0.9749599695205688
A1ASS,0,1,esmfold2,0.954372227191925,0.97835773229599
A1AST,0,1,esmfold2,0.9458680748939514,0.9468374252319336
A1ASU,0,1,esmfold2,0.9468125104904175,0.9706387519836426
A1ASV,0,1,esmfold2,0.9530330300331116,0.9767389297485352
A1BNX,0,1,esmfold2,0.9436927437782288,0.9456882476806641
A1CIW,0,1,esmfold2,0.9367378950119019,0.9110181927680969
CFF,0,1,esmfold2,0.948237419128418,0.9400798082351685
CL6,0,1,esmfold2,0.9416863322257996,0.9285011291503906
D0R,0,1,esmfold2,0.9252752065658569,0.8979282975196838
D7J,0,1,esmfold2,0.9446516633033752,0.9469705820083618
NXR,0,1,esmfold2,0.942385733127594,0.9324178099632263
NYF,0,1,esmfold2,0.9411722421646118,0.9286272525787354
PG0,0,1,esmfold2,0.9411720037460327,0.9120274782180786
PG4,0,1,esmfold2,0.9362964630126953,0.9042146801948547
